continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
South America,Argentina,2020-01-01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-02,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-03,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-04,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-05,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-06,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-07,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-08,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-09,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-10,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-11,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-12,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,31.9,18933.907,5.0,76.67,0.845,45510324,0.0,0.0,0.0,0.0
